index,src_out_result,src_ref_result,out_ref_result,HTER
245,[0.28086884],[0.28476747],[0.34825954],0.0
246,[0.33027593],[0.14899597],[0.17407189],0.0
247,[0.62315101],[0.55641555],[0.54729962],0.0
248,[0.2760936],[0.31423844],[0.28855798],0.0
249,[0.7995338],[0.83030303],[0.9039627],0.0
250,[0.39519387],[0.49281525],[0.67546432],0.0
251,[0.1478223],[0.2386578],[0.24458564],40.0
252,[0.26839321],[0.19186856],[0.4384851],36.36363636
253,[0.41282051],[0.38131868],[0.38315018],33.33333333
254,[0.09864936],[0.10793483],[0.31542862],18.42105263
255,[0.27278253],[0.25473884],[0.59160494],10.52631579
256,[0.53137255],[0.26778711],[0.39187675],37.5
257,[0.1968471],[0.21105413],[0.28509022],14.28571429
258,[0.45723906],[0.45723906],[1.],50.0
259,[0.17585713],[0.07891061],[0.23006928],27.5862069
260,[0.37289403],[0.32787074],[0.57802887],7.407407407
261,[0.19910888],[0.18618769],[0.50119744],41.66666667
262,[0.29827516],[0.35915681],[0.41304928],4.347826087
263,[0.09654945],[0.18450503],[0.1007907],30.0
264,[0.03766624],[0.08588589],[0.63699338],43.47826087
265,[0.25447017],[0.13570487],[0.49438484],18.75
266,[0.25127047],[0.25127047],[1.],5.555555556
267,[0.51655208],[0.20988032],[0.35762669],14.28571429
268,[0.1935394],[0.45920356],[0.38412698],33.33333333
269,[0.26381831],[0.18288475],[0.78919631],23.07692308
270,[0.27924027],[0.24383666],[0.86415954],26.66666667
271,[0.24074697],[0.25783647],[0.12089636],5.405405405
272,[0.15646024],[0.24230924],[0.22425392],17.39130435
273,[0.37588415],[0.7411306],[0.3090504],9.090909091
274,[0.48985208],[0.48985208],[1.],18.18181818
275,[0.34564252],[0.35731922],[0.40993736],4.761904762
276,[0.07727971],[0.11666322],[0.51792278],31.81818182
277,[0.15919732],[0.25953177],[0.67562988],16.66666667
278,[0.29803922],[0.13193277],[0.24285714],7.142857143
279,[0.16423065],[0.25002912],[0.42260595],3.846153846
280,[0.29423224],[0.20500382],[0.24863764],11.11111111
281,[0.31576788],[0.37864151],[0.4404485],4.347826087
282,[0.60605435],[0.60605435],[1.],15.38461538
283,[0.31090339],[0.17967736],[0.21788102],2.5
284,[0.36258829],[0.37425382],[0.7021645],21.42857143
285,[0.62639989],[0.62639989],[1.],13.33333333
286,[0.20255784],[0.26933855],[0.38616813],8.695652174
287,[0.0566416],[0.13684211],[0.24174072],23.07692308
288,[0.34018217],[0.47300465],[0.65205676],6.666666667
289,[0.25194805],[0.3102955],[0.50272915],11.76470588
290,[0.32768681],[0.27166071],[0.27881297],5.882352941
291,[0.19702003],[0.19505565],[0.82080918],24.24242424
292,[0.28750407],[0.19179778],[0.68200832],22.22222222
293,[0.21878225],[0.49054008],[0.25696594],18.18181818
294,[0.48322411],[0.24854409],[0.30064477],12.0
295,[0.37815126],[0.22768299],[0.41862321],7.407407407
296,[0.47878788],[0.47878788],[1.],42.85714286
297,[0.03895331],[0.17733704],[0.25310112],16.21621622
298,[0.53414305],[0.17256838],[0.14252329],14.81481481
299,[0.35029326],[0.14522646],[0.45273705],26.08695652
300,[0.47483381],[0.3894397],[0.70408357],15.78947368
301,[0.22773452],[0.20585836],[0.47148684],11.76470588
302,[0.14157452],[0.18740598],[0.07280433],21.15384615
303,[0.43082284],[0.50884779],[0.69404687],10.0
304,[0.36206788],[0.21544639],[0.52236652],12.5
305,[0.6],[0.54032634],[0.64941725],20.0
306,[0.58114478],[0.36161616],[0.57306397],20.0
307,[0.24784946],[0.17949574],[0.39330738],8.0
308,[0.33284493],[0.28644689],[0.21611722],33.33333333
309,[0.16007812],[0.21885428],[0.24436564],14.70588235
310,[0.32142698],[0.51210702],[0.4148495],18.75
311,[0.10498468],[0.3839042],[0.40339738],18.18181818
312,[0.31239723],[0.34638991],[0.40232804],37.5
313,[0.13176931],[0.31028022],[0.16511893],4.347826087
314,[0.50139047],[0.16770889],[0.26243218],27.27272727
315,[0.22879115],[0.22288192],[0.50028686],11.76470588
316,[0.32252252],[0.30480733],[0.19124839],33.33333333
317,[0.54627595],[0.62832723],[0.57411477],45.45454545
318,[0.14219114],[0.34665335],[0.4958375],40.0
319,[0.18323992],[0.09659457],[0.24499398],8.333333333
320,[0.14777688],[0.12501266],[0.32673397],2.941176471
321,[0.42717087],[0.66246499],[0.54677871],37.5
322,[0.2388422],[0.15843024],[0.30997369],33.33333333
323,[0.34335505],[0.34214736],[0.78712856],15.0
324,[0.31779677],[0.25299145],[0.60007597],9.090909091
325,[0.21655235],[0.1456541],[0.13490623],10.0
326,[0.40375605],[0.44713522],[0.40910364],7.407407407
327,[0.07040768],[0.22220241],[0.45639529],7.142857143
328,[0.31460182],[0.4449457],[0.18300255],9.090909091
329,[0.028739],[0.29864777],[0.30676116],28.57142857
330,[0.06901847],[0.13201172],[0.47937733],11.42857143
331,[0.37952928],[0.36984735],[0.55886395],5.0
332,[0.12310974],[0.17120706],[0.3625328],8.333333333
333,[0.33377102],[0.2725827],[0.31805814],11.53846154
334,[0.47545788],[0.63736264],[0.68864469],12.5
335,[0.46381766],[0.39175689],[0.39893637],31.25
336,[0.29807391],[0.22008909],[0.3576134],5.882352941
337,[0.41148951],[0.4251118],[0.90134159],12.5
338,[0.10712074],[0.51867905],[0.29865841],60.0
339,[0.46638655],[0.16246499],[0.2535014],25.0
340,[0.28416094],[0.32105933],[0.71398014],13.04347826
341,[0.00766931],[0.08258095],[0.05687312],2.985074627
342,[0.21527066],[0.26036087],[0.59487179],37.5
343,[0.15876915],[0.13559378],[0.37672137],7.272727273
344,[0.36439825],[0.46472313],[0.69152148],12.5
345,[0.37662338],[0.37662338],[1.],10.0
346,[0.53526636],[0.13860752],[0.15653469],11.53846154
347,[0.32194122],[0.26680337],[0.59763044],7.142857143
348,[0.20026048],[0.29683354],[0.30282458],26.66666667
349,[0.34422658],[0.40174292],[0.81917211],16.66666667
350,[0.33028491],[0.20575365],[0.02461453],17.85714286
